Date,Country,Migration State,Arrivals,Arrivals: Gender Male,Arrivals: Gender Female
1/01/2020,Aruba,Kedah,0,0,0
1/01/2020,Aruba,Pulau Pinang,0,0,0
1/01/2020,Afghanistan,Johor,2,0,2
1/01/2020,Afghanistan,Kedah,1,1,0
1/01/2020,Afghanistan,Perlis,0,0,0
1/01/2020,Afghanistan,Pulau Pinang,0,0,0
1/01/2020,Afghanistan,Sarawak,0,0,0
1/01/2020,Afghanistan,Selangor,180,161,19
1/01/2020,Angola,Johor,0,0,0
1/01/2020,Angola,Kedah,0,0,0
1/01/2020,Angola,Sabah,0,0,0
1/01/2020,Angola,Selangor,9,6,3
1/01/2020,Anguilla,Selangor,0,0,0
1/01/2020,Albania,Johor,35,17,18
1/01/2020,Albania,Kedah,6,4,2
1/01/2020,Albania,Perak,1,1,0
1/01/2020,Albania,Perlis,1,1,0
1/01/2020,Albania,Pulau Pinang,2,0,2
1/01/2020,Albania,Sabah,1,1,0
1/01/2020,Albania,Sarawak,1,1,0
1/01/2020,Albania,Selangor,62,31,31
1/01/2020,Andorra,Johor,0,0,0
1/01/2020,Andorra,Kedah,0,0,0
1/01/2020,Andorra,Perlis,0,0,0
1/01/2020,Andorra,Pulau Pinang,0,0,0
1/01/2020,Andorra,Selangor,5,3,2
1/01/2020,Antigua and Barbuda,Selangor,0,0,0
1/01/2020,United Arab Emirates,Johor,22,14,8
1/01/2020,United Arab Emirates,Kedah,4,3,1
1/01/2020,United Arab Emirates,Kelantan,0,0,0
1/01/2020,United Arab Emirates,Perak,0,0,0
1/01/2020,United Arab Emirates,Perlis,0,0,0
1/01/2020,United Arab Emirates,Pulau Pinang,4,3,1
1/01/2020,United Arab Emirates,Sabah,0,0,0
1/01/2020,United Arab Emirates,Sarawak,0,0,0
1/01/2020,United Arab Emirates,Selangor,371,252,119
1/01/2020,Argentina,Johor,221,133,88
1/01/2020,Argentina,Kedah,304,148,156
1/01/2020,Argentina,Kelantan,5,2,3
1/01/2020,Argentina,Melaka,0,0,0
1/01/2020,Argentina,Perak,0,0,0
1/01/2020,Argentina,Perlis,20,11,9
1/01/2020,Argentina,Pulau Pinang,5,2,3
1/01/2020,Argentina,Sabah,3,1,2
1/01/2020,Argentina,Sarawak,1,1,0
1/01/2020,Argentina,Selangor,908,464,444
1/01/2020,Argentina,W.P. Labuan,0,0,0
1/01/2020,Armenia,Johor,5,2,3
1/01/2020,Armenia,Kedah,3,1,2
1/01/2020,Armenia,Kelantan,1,1,0
1/01/2020,Armenia,Perak,2,0,2
1/01/2020,Armenia,Perlis,0,0,0
1/01/2020,Armenia,Pulau Pinang,1,1,0
1/01/2020,Armenia,Sabah,0,0,0
1/01/2020,Armenia,Sarawak,0,0,0
1/01/2020,Armenia,Selangor,79,22,57
1/01/2020,Antarctica,Selangor,0,0,0
1/01/2020,Antigua and Barbuda,Johor,6,3,3
1/01/2020,Antigua and Barbuda,Kedah,0,0,0
1/01/2020,Antigua and Barbuda,Pulau Pinang,0,0,0
1/01/2020,Antigua and Barbuda,Sarawak,0,0,0
1/01/2020,Antigua and Barbuda,Selangor,22,12,10
1/01/2020,Australia,Johor,8923,4980,3943
1/01/2020,Australia,Kedah,1138,636,502
1/01/2020,Australia,Kelantan,21,15,6
1/01/2020,Australia,Melaka,10,7,3
1/01/2020,Australia,Negeri Sembilan,0,0,0
1/01/2020,Australia,Pahang,52,23,29
1/01/2020,Australia,Perak,282,156,126
1/01/2020,Australia,Perlis,115,64,51
1/01/2020,Australia,Pulau Pinang,2617,1339,1278
1/01/2020,Australia,Sabah,908,464,444
1/01/2020,Australia,Sarawak,956,535,421
1/01/2020,Australia,Selangor,36952,20700,16252
1/01/2020,Australia,Terengganu,0,0,0
1/01/2020,Australia,W.P. Labuan,24,17,7
1/01/2020,Austria,Johor,242,159,83
1/01/2020,Austria,Kedah,170,97,73
1/01/2020,Austria,Kelantan,8,7,1
1/01/2020,Austria,Melaka,0,0,0
1/01/2020,Austria,Negeri Sembilan,0,0,0
1/01/2020,Austria,Pahang,0,0,0
1/01/2020,Austria,Perak,8,7,1
1/01/2020,Austria,Perlis,28,19,9
1/01/2020,Austria,Pulau Pinang,75,57,18
1/01/2020,Austria,Sabah,26,15,11
1/01/2020,Austria,Sarawak,18,13,5
1/01/2020,Austria,Selangor,904,585,319
1/01/2020,Austria,Terengganu,0,0,0
1/01/2020,Austria,W.P. Labuan,1,1,0
1/01/2020,Azerbaijan,Johor,6,5,1
1/01/2020,Azerbaijan,Kedah,9,8,1
1/01/2020,Azerbaijan,Kelantan,0,0,0
1/01/2020,Azerbaijan,Melaka,2,1,1
1/01/2020,Azerbaijan,Perlis,0,0,0
1/01/2020,Azerbaijan,Pulau Pinang,0,0,0
1/01/2020,Azerbaijan,Sabah,3,2,1
1/01/2020,Azerbaijan,Sarawak,3,1,2
1/01/2020,Azerbaijan,Selangor,159,89,70
1/01/2020,Azerbaijan,W.P. Labuan,1,1,0
1/01/2020,Burundi,Pulau Pinang,0,0,0
1/01/2020,Burundi,Sarawak,0,0,0
1/01/2020,Burundi,Selangor,2,2,0
1/01/2020,Belgium,Johor,265,171,94
1/01/2020,Belgium,Kedah,140,80,60
1/01/2020,Belgium,Kelantan,5,3,2
